_Customer_ID,Full_Name,Gen,Age,Address,City,State,PostalCode,Country,Phone,E_Mail,Update_Date,Status,Updated_by
1002,N. J. Higgins,M,59,998 Rosemary St.,Denver,CO,80230,,,N..Higgins@memri.org,9/10/16,A,A_Jones
1005,Steve Ahern,M,51,100 Cardinal Way,Redwood City,CA,,USA,(412) 215-9843,Steve.Ahern@suitdepot.com,9/10/16,A,A_Jones
1006,Isabel A. Quam,F,31,641 Landau Drive,Woodbury,MN,55125,USA,972.851.4685,Isabel.Quam@forbes.com,9/10/16,A,S_Taylor
1010,Dawn V. Schwartz,F,26,8100 Sunrise Lakes Blvd,Fort Lauderdale,FL,33330,United States,9546253319,Dawn.Schwartz@avrev.com,9/10/16,A,T_Lee
1013,Carl J. Kuhen,M,50,500 Birch Driv.,Stratford,CT,6614,USA,,Carl.Kuhen@rethinkingschools.org,9/10/16,A,A_Jones
1014,Mellisa A. Bernardi,F,47,7201 Charles Court,Dallas,TX,75217,U.S.A.,972.851.4685,M.Bernardi@gmail.com,9/10/16,A,T_Lee
1015,Mellisa Bernardi,F,47,7201 Charles Court,Dallas,TX,,U.S.A.,,M.Bernardi@gmail.com,9/10/16,,A_Jones
1016,Isabel Quam,F,31,641 Landau Drive,Woodbury,MN,55125,USA,9728514685,Isabel.Quam@forbes.com,9/10/16,,T_Lee
1017,Steve J. Ahern,M,,101 Laurel Court,Pittsburgh,PA,15202,,(412)215-9843,Steve.J.Ahern@metaverseroadmap.org,9/2/16,Active,A_Jones
1020,Gladys A. Pritchet,F,49,262 E. Lawrence Avenue,Springfield,IL,62701,,,Gladys.Pritchet@tucows.com,9/10/16,I,A_Jones
1023,Dawn Schwartz,F,,8100 Sunrise Lakes Blvd.,Fort Lauderdale,FL,,,(954) 625-3319,Dawn.Schwartz@avrev.com,9/10/16,A,A_Jones
1024,Tonya Smith,F,49,1515 NW 58th St.,Seattle,WA,,U.S.,,Tonya_Smith@avrev.com,9/10/16,A,A_Jones
1026,Al Sneller,M,42,401 Southbrook Parkway,Kerney,MO,64061,-,816.635.6684,Al.Sneller@lonelyplanet.com,9/10/16,Active,M_Jackson
